point,AP,db,Out_small,In_small,large_small
fh_5_19,FH-AP-516,-52,778.3679916982,4315.5439808239,3752.1241844402
fh_4_4,FH-AP-4th-Flr-DC,-52,792.3464910472,12580.6494140625,16545.7828239469
fh_4_6,FH-AP-457,-52,806.1746918969,17612.9091796875,17553.5901692708
fh_5_14,FH-AP-505_Hallway,-52,835.901323809,10903.2294921875,11767.2080775669
fh_4_9,FH-AP-5thFlrSE,-52,912.0031509589,3580.6743007643,3466.8622763767
fh_5_6,FH-AP-570_Suite,-51,568.7067071101,11741.939453125,11452.0748697917
fh_3_7,FH-AP-370,-51,773.2478254797,22645.1689453125,22461.6222563244
fh_4_5,FH-AP-560_Entrance,-51,778.4211759442,13838.7143554688,14848.4428267045
fh_4_18,FH-AP-416DC,-51,779.2923169918,6206.4537109375,9006.5517779638
fh_2_6,FH-AP-2ndFlr_East_DC,-50,645.0840052452,10903.2294921875,11966.1907151442
fh_2_13,FH-AP-228,-50,704.9700901842,5032.259765625,5856.9476192375
fh_5_7,FH-AP-570_Suite,-49,663.1773691538,10903.2294921875,14351.7736727503
fh_5_13,FH-AP-505_Hallway,-49,739.1462368317,8387.099609375,9497.9908226252
fh_3_16,FH-AP-302,-49,761.46768927,11741.939453125,10158.0172293527
fh_3_18,FH-AP-310a,-47,693.520694871,8387.099609375,9718.2506127451
fh_4_12,FH-AP-403,-46,559.846613823,8722.58359375,8703.89430594
fh_2_2,FH-AP-272,-46,671.5277306817,11741.939453125,20396.4940011161
fh_3_9,FH-AP-370,-46,854.0794242611,12580.6494140625,12811.6348300137
fh_5_18,FH-AP-516,-46,854.3252000738,4325.3470842634,7159.4613806333
fh_3_10,FH-AP-370,-46,856.4757384352,12580.6494140625,11771.8499742445
fh_5_4,FH-AP-560_Entrance,-46,863.1321666966,10903.2294921875,11582.6244214483
fh_5_17,FH-AP-5thFlrWest,-45,769.1249091931,12580.6494140625,13430.5543870192
fh_2_7,FH-AP-250,-44,659.5344400005,7967.7446289063,8887.8392926773
fh_5_10,FH-AP-560_Entrance,-43,645.8457768065,1346.8011814292,1439.1430370292
fh_5_8,FH-AP-570_Suite,-42,797.2753198678,8387.099609375,8459.8766548149
fh_2_23,FH-AP-204,-42,904.7190119725,25161.298828125,19278.529832883
fh_5_16,FH-AP-5thFlrWest,-40,825.9771944011,12580.6494140625,9830.6931818182
fh_3_8,FH-AP-370,-39,805.6475996895,12580.6494140625,11957.5258413462
fh_4_21,FH-AP-423,-38,638.033367573,5619.3567382813,4647.688838938
fh_5_21,FH-AP-529,-38,773.4262111503,10903.2294921875,10395.0649003546
fh_2_8,FH-AP-250,-37,672.3824597556,6877.4216796875,6827.4391710069
fh_2_22,FH-AP-204,-35,742.2180414785,25161.298828125,21909.7523179945
fh_5_12,FH-AP-5thFlrSE,-35,918.8066648126,4576.9600725446,7151.7163919958
